case_date,lastname,firstname,case_type,case_id,court_fee,jurisdiction,judge_last_name
2023-01-16,Okafor,Jane,Civil,CR-6190,250,BOSTON,Connor
2023-08-10,Malcolm,Elena,Civil,CR-3092,100,chicago,James
2023-06-14,Nasser,Alan,Civil,CR-5947,150,BOSTON,Skaarsgard
2023-07-17,Smith,Miguel,Family,CR-7727,250,LOS angeles,Brown
2023-07-25,Kim,John,Criminal,CR-4120,150,BOSTON,Skaarsgard
2023-07-14,Brown,John,Civil,CR-8850,100,LOS angeles,Brown
2023-01-19,Nasser,Dmitri,Criminal,CR-2308,100,chicago,Connor
2023-02-26,Rodriguez,Alan,Criminal,CR-4477,100,chicago,Morgan
2023-02-10,Brown,Alice,Criminal,CR-9490,200,chicago,Morgan
2023-09-12,Smith,Nadia,Family,CR-4111,100,LOS angeles,Skaarsgard
2023-02-25,Kim,Chen,Criminal,CR-9421,150,BOSTON,Oleg
2023-09-15,Kim,John,Family,CR-3270,200,houston,Morgan
2023-07-22,Patel,Nadia,Family,CR-1501,200,houston,Skaarsgard
2023-01-27,Lee,Lakshmi,Family,CR-8321,150,houston,Brown
2023-01-14,Brown,John,Family,CR-2748,100,LOS angeles,James
2023-07-13,Malcolm,Miguel,Family,CR-3163,100,LOS angeles,Skaarsgard
2023-02-26,Smith,Alice,Civil,CR-4296,150,BOSTON,James
2023-09-25,Patel,Terrance,Criminal,CR-2230,200,houston,Morgan
2023-02-13,Ivanov,Alan,Family,CR-9353,100,new York,Morgan
2023-04-18,Chatterjee,Alice,Civil,CR-8786,100,chicago,Skaarsgard
2023-09-11,Brown,Jane,Criminal,CR-6001,100,LOS angeles,Connor
2023-02-16,Okafor,Jane,Criminal,CR-9434,250,BOSTON,Oleg
2023-07-22,Chatterjee,Dmitri,Criminal,CR-1042,100,BOSTON,Brown
2023-08-28,Smith,Miguel,Family,CR-1427,150,LOS angeles,Brown
2023-06-14,Johnson,Miguel,Civil,CR-7553,200,chicago,Skaarsgard
2023-02-24,Ivanov,Chen,Civil,CR-2242,250,LOS angeles,Connor
2023-06-23,Rodriguez,Terrance,Criminal,CR-6940,250,houston,Connor
